date,percents
2016-10-15,4.595997034840623
2016-10-16,13.649103139013452
2016-10-17,6.564690885914596
2016-10-18,5.352599054889131
2016-10-19,4.805052169137836
2016-10-20,7.356426618049225
2016-10-21,5.2068214804063855
2016-10-22,3.7597188198956224
2016-10-23,10.687757909215955
2016-10-24,4.60334788937409
2016-10-25,9.536884495698335
2016-10-26,7.464993635206402
2016-10-27,11.627694556083302
2016-10-28,6.806806806806807
2016-10-29,2.9183086590691234
2016-10-30,9.723559345344519
2016-10-31,4.9453074731133375
2016-11-01,5.780505679736167
2016-11-02,20.217668398862635
2016-11-03,5.922427105095831
2016-11-04,5.1843108770655535
2016-11-05,3.305898491083676
2016-11-06,10.359059017746596
2016-11-07,8.043338536406207
2016-11-08,21.172951607734216
2016-11-09,13.216085570297235
2016-11-10,11.52823240589198
2016-11-11,12.080967210111742
2016-11-12,9.377691645133506
2016-11-13,6.148555708390647
2016-11-14,2.564570594140732
2016-11-15,9.864927806241267
2016-11-16,6.039108685766258
2016-11-17,11.823087300057814
2016-11-18,3.8771447530571614
2016-11-19,1.779624893435635
2016-11-20,5.927657818731949
2016-11-21,4.180387852177095
2016-11-22,2.1355870592511814
2016-11-23,3.198836786623046
2016-11-24,2.753043794294021
2016-11-25,7.375150560548503
2016-11-26,4.296408809807963
2016-11-27,6.439024390243903
2016-11-28,15.151214675260288
2016-11-29,6.464259664478483
2016-11-30,3.8887879338542612
2016-12-01,6.247709783803591
2016-12-02,3.574668844129922
2016-12-03,4.680120223271791
2016-12-04,6.57587013344339
2016-12-05,3.9204959883296864
2016-12-06,1.7879246321001236
2016-12-07,3.909952606635071
2016-12-08,3.7395111273257933
2016-12-09,3.697617091207888
2016-12-10,3.1299904183966785
2016-12-11,7.6996456800218045
2016-12-12,4.07103825136612
2016-12-13,3.9981826442526125
2016-12-14,4.689203925845147
2016-12-15,4.30721799056946
2016-12-16,3.4354604786076868
2016-12-17,3.5661375661375665
2016-12-18,7.442748091603053
2016-12-19,6.277412280701753
2016-12-20,7.147427109039393
2016-12-21,2.2826482357220805
2016-12-22,1.15265928480668
2016-12-23,2.066002376816894
2016-12-24,2.3607176581680833
2016-12-25,4.809483488569009
2016-12-26,1.2953367875647668
2016-12-27,2.0878920495988327
2016-12-28,1.7995092247568845
2016-12-29,1.3904034896401307
2016-12-30,3.1295620437956204
2016-12-31,0.7938187976291278
2017-01-01,6.108424535505217
2017-01-02,2.0239607914322018
2017-01-03,4.971823304853663
2017-01-04,20.98561430793157
2017-01-05,31.6281512605042
2017-01-06,4.561546840958606
2017-01-07,8.015006821282402
2017-01-08,4.4574700109051255
2017-01-09,4.903390448414145
2017-01-10,2.973538237701191
2017-01-11,3.2304900181488203
2017-01-12,8.523634996710836
2017-01-13,4.279095121286454
2017-01-14,0.9208298052497883
2017-01-15,3.7178786221979223
2017-01-16,2.589496638197347
2017-01-17,4.862119013062409
2017-01-18,2.813067150635209
2017-01-19,7.153298008404898
2017-01-20,2.5385312783318223
2017-01-21,1.7993226079593565
2017-01-22,6.937500000000001
2017-01-23,3.294802948939656
2017-01-24,2.4008730447435433
2017-01-25,2.8488213343041777
2017-01-26,2.8408059538936286
2017-01-27,2.0850330885685797
2017-01-28,0.8572335696899143
2017-01-29,3.136078538314699
2017-01-30,1.2879818594104309
2017-01-31,2.3675104716809328
2017-02-01,3.266169840831723
2017-02-02,3.5574561004458194
2017-02-03,3.235536057033178
2017-02-04,4.694533762057878
2017-02-05,2.9167234564535915
2017-02-06,4.270852345318489
2017-02-07,11.600573339703775
2017-02-08,3.105646630236794
2017-02-09,4.899451553930531
2017-02-10,12.600288006583007
2017-02-11,10.946678716674198
2017-02-12,5.202785743547726
2017-02-13,1.4492753623188406
2017-02-14,1.898101898101898
2017-02-15,1.646542261251372
2017-02-16,3.1958481289265226
2017-02-17,1.8671258950421463
2017-02-18,1.068443880249656
2017-02-19,5.871886120996441
2017-02-20,2.694610778443114
2017-02-21,2.985210053534162
2017-02-22,4.444444444444445
2017-02-23,5.0036324010170725
2017-02-24,5.381125226860254
2017-02-25,1.2473572938689217
2017-02-26,5.6313062448868285
2017-02-27,1.9549008910711037
2017-02-28,2.888283378746594
2017-03-01,2.6480457059943774
2017-03-02,5.1882921491747975
2017-03-03,2.652063721940623
2017-03-04,1.099133375607694
2017-03-05,3.136078538314699
2017-03-06,2.1115864203149175
2017-03-07,4.159869494290375
2017-03-08,3.522149600580973
2017-03-09,4.69376594969012
2017-03-10,1.8017202354006339
2017-03-11,0.7196528733199281
2017-03-12,4.55288985823337
2017-03-13,3.0700146627565985
2017-03-14,2.536824877250409
2017-03-15,1.99181446111869
2017-03-16,4.211101996171726
2017-03-17,2.382893902328531
2017-03-18,0.8171495277512468
2017-03-19,6.025903203817315
2017-03-20,2.379654859218892
2017-03-21,3.2666060054595087
2017-03-22,3.601637107776262
2017-03-23,8.81205191033669
2017-03-24,2.860515800944424
2017-03-25,1.9825197186101045
2017-03-26,6.0295948001659525
2017-03-27,1.97696562981772
2017-03-28,2.111394248270841
2017-03-29,4.18482207697894
2017-03-30,1.4557365116913838
2017-03-31,2.6867568303530907
2017-04-01,2.190939881456393
2017-04-02,4.278512058863606
2017-04-03,2.9266958424507656
2017-04-04,3.4237843744308867
2017-04-05,3.211758301578661
2017-04-06,3.901996370235935
2017-04-07,1.5261627906976742
2017-04-08,2.306878306878307
2017-04-09,7.0568927789934355
2017-04-10,3.5275934175834167
2017-04-11,1.5429297513160283
2017-04-12,1.6235827664399092
2017-04-13,2.7654365762988484
